prix_m2;nom_commune;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
6385.068762278978;Clichy;2.315547;48.904109;920240000T;920240000T0112;6110;0;T3;0.7924035741797684;7;0;4;0;2
7847.145947745049;Clichy;2.31238;48.903443;920240000Z;920240000Z0056;4122;0;T3;0.5514557459753451;12;1;6;0;2
3480.629539951574;Clichy;2.302123;48.898466;920240000P;920240000P0011;4420;0;T2;0.5247811895236656;6;1;8;0;0
2585.8884373845585;Clichy;2.301945;48.902352;920240000L;920240000L0081;7130;0;T1;0.22395187644508635;10;1;10;0;0
7790.155050429023;Clichy;2.310659;48.903312;920240000S;920240000S0032;0040;0;T4;0.4244594694118593;14;1;6;0;2
5875.0;Clichy;2.310777;48.898938;920240000Y;920240000Y0044;6140;0;T1;0.6081218690664593;8;0;10;0;2
6654.512306289881;Clichy;2.302091;48.90054;920240000Q;920240000Q0097;4485;0;T2;0.3266886552693791;8;2;7;0;0
8286.201852754753;Clichy;2.301401;48.901135;920240000Q;920240000Q0120;1420;0;T2;0.31818269782486813;8;2;8;0;0
7538.461538461538;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T3;0.47835889578200536;6;1;5;0;1
6860.46511627907;Clichy;2.302288;48.905916;920240000K;920240000K0052;3150;0;T2;0.39566194151815764;9;1;6;0;0
6000.0;Clichy;2.302288;48.905916;920240000K;920240000K0052;3150;0;T2;0.39566194151815764;9;1;6;0;0
6683.8046272493575;Clichy;2.301267;48.901254;920240000Q;920240000Q0121;1420;0;T1;0.31882742792696844;8;2;9;0;0
8483.033932135728;Clichy;2.30865;48.901681;920240000Z;920240000Z0005;5140;0;T3;0.30092026836615693;9;1;11;0;1
8018.442417560389;Clichy;2.298616;48.900739;920240000N;920240000N0092;6630;0;T5;0.5163568508839435;5;1;5;0;0
7571.491228070176;Clichy;2.311397;48.901329;920240000Z;920240000Z0088;3560;1;T3;0.5026264447770217;9;1;11;0;2
5075.777777777777;Clichy;2.291076;48.902264;920240000A;920240000A0020;0610;0;T1;1.0167566915835735;5;0;3;0;0
7896.841263494602;Clichy;2.315939;48.901105;920240000U;920240000U0057;9640;0;T3;0.8298305677484051;5;0;4;0;2
8678.544914625094;Clichy;2.307187;48.900772;920240000R;920240000R0059;6151;0;T4;0.28104836068189815;9;1;12;0;1
7279.94705493051;Clichy;2.309299;48.901279;920240000Z;920240000Z0037;4420;0;T2;0.36340889866826515;9;1;11;0;1
7526.178010471203;Clichy;2.311218;48.903489;920240000S;920240000S0074;5140;0;T4;0.46788775015499706;15;1;6;0;2
5721.689059500959;Clichy;2.29882;48.906143;920240000C;920240000C0031;7175;0;T4;0.5808366695152706;5;0;3;0;0
5125.284738041003;Clichy;2.296162;48.899153;920240000O;920240000O0040;7195;0;T1;0.7600332809241026;5;1;4;0;0
4544.864303337228;Clichy;2.2999;48.906586;920240000C;920240000C0009;4730;0;T4;0.5583698150249665;2;0;3;0;0
7463.047058823529;Clichy;2.311397;48.901329;920240000Z;920240000Z0088;3560;1;T5;0.5026264447770217;9;1;11;0;2
7448.399641040981;Clichy;2.299112;48.903804;920240000M;920240000M0055;3535;1;T4;0.4399026211218294;6;0;5;0;0
6888.484533402651;Clichy;2.308469;48.896923;92024000AC;92024000AC0041;7130;0;T2;0.7044829607588621;1;0;5;0;0
6246.489859594384;Clichy;2.309618;48.910749;920240000G;920240000G0104;3200;0;T3;0.9477045742378062;5;0;2;0;1
7927.5;Clichy;2.311397;48.901329;920240000Z;920240000Z0088;3560;1;T3;0.5026264447770217;9;1;11;0;2
8333.333333333334;Clichy;2.305108;48.903617;920240000K;920240000K0192;6140;0;T1;0.09082228718894723;13;1;10;0;1
6583.333333333333;Clichy;2.307451;48.910377;920240000G;920240000G0117;7170;0;T3;0.8617493030839509;6;0;2;0;1
6120.6516952884185;Clichy;2.31436;48.902474;920240000U;920240000U0015;4430;0;T3;0.6931157515274532;7;0;5;0;2
6618.181818181818;Clichy;2.306151;48.896005;92024000AF;92024000AF0022;1411;0;T1;0.7621126732340674;1;0;5;0;0
6891.413671074688;Clichy;2.303144;48.903194;920240000L;920240000L0112;0055;0;T3;0.13701533170139926;11;1;11;0;0
6066.756878664862;Clichy;2.304478;48.899878;920240000Q;920240000Q0073;7130;0;T2;0.32764341306660444;9;1;11;0;0
7696.127110228401;Clichy;2.301135;48.898029;920240000P;920240000P0006;4420;0;T1;0.5997188400615616;4;1;5;0;0
6305.947881440223;Clichy;2.308469;48.896923;92024000AC;92024000AC0041;7130;0;T3;0.7044829607588621;1;0;5;0;0
7184.315748742422;Clichy;2.313613;48.900912;920240000X;920240000X0015;0040;0;T4;0.671387565255752;5;0;5;0;2
5276.1747732893655;Clichy;2.314222;48.902401;920240000U;920240000U0016;4122;0;T2;0.6835057134658563;7;0;5;0;2
