valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
186000.0;2.243315;48.911673;41;457;41;42.77;2.0;0
219500.0;2.258727;48.93356;7;87;7;57.07;3.0;0
59000.0;2.240597;48.910363;49;544;49;10.66;1.0;0
532500.0;2.253184;48.914837;33;394;33;84.0;4.0;1
247925.0;2.271349;48.927369;15;128;15;44.0;2.0;1
175000.0;2.259659;48.924277;19;157;19;31.25;2.0;0
135000.0;2.252437;48.928303;3;21;3;45.21;2.0;0
270000.0;2.240929;48.927356;64;672;64;74.39;4.0;0
210000.0;2.246089;48.912433;41;459;41;53.04;2.0;0
301000.0;2.255366;48.929762;6;82;6;65.0;3.0;1
232000.0;2.255366;48.929762;6;82;6;29.0;1.0;1
455000.0;2.253861;48.927309;5;62;5;96.0;4.0;1
293334.0;2.232628;48.915403;51;572;51;65.0;3.0;1
200000.0;2.260147;48.933013;7;88;7;64.65;4.0;0
209000.0;2.251287;48.917072;35;420;35;45.28;2.0;0
245250.0;2.241772;48.911085;41;456;41;55.05;3.0;0
125000.0;2.231083;48.915453;52;581;52;31.3;2.0;0
165000.0;2.249246;48.924507;56;611;56;36.64;2.0;0
188000.0;2.255184;48.914501;33;389;33;29.52;2.0;0
356050.0;2.25553;48.922533;25;268;25;77.48;4.0;0
206000.0;2.260147;48.933013;7;88;7;65.4;4.0;0
226450.0;2.241049;48.913884;42;467;42;37.6;3.0;0
300000.0;2.23829;48.92626;67;683;67;79.44;4.0;0
316000.0;2.257076;48.93355;7;90;7;62.0;3.0;1
423000.0;2.257076;48.93355;7;90;7;86.0;4.0;1
357156.0;2.256143;48.933553;7;91;7;63.0;3.0;1
430000.0;2.256616;48.920706;28;307;28;82.72;4.0;0
219000.0;2.232262;48.911353;71;700;71;45.0;2.0;0
440000.0;2.254803;48.923235;26;286;26;82.0;4.0;0
200000.0;2.257246;48.915329;33;379;33;28.0;2.0;0
245000.0;2.252379;48.916973;35;417;35;43.0;2.0;0
336400.0;2.264986;48.923024;22;220;22;71.0;3.0;0
236000.0;2.23866;48.910519;49;550;49;38.0;3.0;0
289000.0;2.238479;48.922782;59;649;59;78.0;5.0;0
187000.0;2.258727;48.93356;7;87;7;57.0;3.0;0
152000.0;2.246255;48.926389;65;676;65;43.0;3.0;0
250000.0;2.253079;48.920223;29;319;29;46.0;2.0;0
149000.0;2.24239;48.917732;45;486;45;24.0;1.0;0
137080.0;2.259411;48.921263;24;236;24;26.0;2.0;0
198300.0;2.245438;48.926059;65;678;65;29.0;1.0;0
251500.0;2.265536;48.928985;17;152;17;57.0;3.0;0
150000.0;2.251921;48.921641;27;298;27;37.0;2.0;0
305000.0;2.250418;48.917911;35;412;35;58.0;3.0;0
220000.0;2.233332;48.909801;72;704;72;58.0;4.0;0
241770.81;2.271349;48.927369;15;128;15;45.0;2.0;1
229000.0;2.241498;48.924817;58;644;58;42.0;2.0;1
305158.4;2.241498;48.924817;58;644;58;60.0;3.0;1
134500.0;2.259659;48.924277;19;157;19;23.0;1.0;0
364000.0;2.237791;48.909845;49;534;49;62.0;3.0;0
265000.0;2.264843;48.923143;22;217;22;44.0;2.0;0
242850.0;2.253839;48.914983;33;401;33;34.0;2.0;0
349000.0;2.242915;48.925927;64;673;64;88.52;4.0;0
195000.0;2.259659;48.924277;19;157;19;37.15;2.0;0
